SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
debug,1,A,52,0,0.6,Agent,1,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square
debug,1,A,30,0.630000000004657,0.6,Agent,1,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval
debug,1,A,N/A,1.26000000000931,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,A,55,1.86000000001513,0.6,Patient,0,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square
debug,1,A,27,2.49000000001979,0.6,Agent,1,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval
debug,1,A,N/A,3.12000000002445,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,A,16,3.72000000003027,0.6,Agent,1,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square
debug,1,A,N/A,4.35000000003492,1,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,A,20,5.35000000003492,0.6,Patient,0,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star
debug,1,A,N/A,5.98000000003958,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,A,13,6.78000000002794,0.6,Patient,0,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle
debug,1,A,N/A,7.4100000000326,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,A,43,8.21000000002095,0.6,Agent,1,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square
debug,1,A,N/A,8.84000000002561,1.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,A,8,10.640000000014,0.6,Agent,1,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star
debug,1,A,N/A,11.2700000000186,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,A,19,11.8700000000244,0.6,Patient,0,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square
debug,1,A,30,12.5000000000291,0.6,Patient,1,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval
