SubjID,Run,Order,Onset
debug,1,1,
debug,1,1,0.380000000000109
debug,1,1,
debug,1,1,0.960000000000264
debug,1,1,
debug,1,1,1.54000000000042
debug,1,1,
debug,1,1,
debug,1,1,2.70000000000073
debug,1,1,
debug,1,1,3.28000000000088
debug,1,1,
debug,1,1,5.4
debug,1,1,
debug,1,1,6.6
debug,1,1,
debug,1,1,7.8
debug,1,1,
debug,1,1,
debug,1,1,
debug,1,1,10.2
debug,1,1,
debug,1,1,
debug,1,1,11.6
debug,1,1,
debug,1,1,12.6
debug,1,1,
debug,1,1,13.6
debug,1,1,
debug,1,1,14.6
debug,1,1,
debug,1,1,15.6
debug,1,1,
debug,1,1,
debug,1,1,
debug,1,1,
debug,1,1,18.2
debug,1,1,
debug,1,1,
debug,1,1,20
debug,1,1,
debug,1,1,
debug,1,1,22
debug,1,1,
debug,1,1,22.8
debug,1,1,
debug,1,1,23.6
debug,1,1,
debug,1,1,24.6
debug,1,1,
debug,1,1,25.8
debug,1,1,
debug,1,1,
debug,1,1,27.4
debug,1,1,
debug,1,1,28.2
debug,1,1,
debug,1,1,29.2
debug,1,1,
debug,1,1,30
debug,1,1,
debug,1,1,31.2
debug,1,1,
debug,1,1,
debug,1,1,
debug,1,1,33.8
debug,1,1,
debug,1,1,35
